Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Population_2023,2024,2025,Unnamed: 70,Region,IncomeGroup,SpecialNotes,TableName,Unnamed: 5
"Congo, Rep.",COG,"Population, total",SP.POP.TOTL,1056732.0,1084389.0,1113175.0,1143263.0,1174816.0,1207880.0,1242534.0,1278691.0,1316519.0,1356182.0,1397638.0,1441039.0,1486468.0,1533680.0,1582301.0,1627032.0,1667225.0,1707568.0,1748089.0,1788524.0,1828985.0,1869759.0,1910430.0,1950321.0,1999528.0,2059311.0,2120602.0,2183473.0,2247653.0,2313558.0,2380560.0,2449229.0,2519465.0,2595124.0,2673144.0,2749461.0,2826785.0,2887862.0,2952061.0,3032874.0,3151345.0,3272537.0,3350771.0,3445753.0,3565554.0,3696393.0,3837409.0,3980430.0,4113517.0,4281219.0,4462290.0,4609724.0,4740450.0,4857099.0,4975880.0,5097581.0,5222536.0,5351011.0,5483118.0,5616661.0,5752791.0,5892183.0,6035104.0,6182885.0,6332961.0,6484437.0,,Sub-Saharan Africa,Lower middle income,,"Congo, Rep.",
Comoros,COM,"Population, total",SP.POP.TOTL,197700.0,201201.0,204702.0,208185.0,211644.0,214967.0,218663.0,223859.0,230244.0,237001.0,244185.0,251865.0,260077.0,268820.0,278075.0,287692.0,297538.0,307579.0,317688.0,327791.0,337721.0,347382.0,357139.0,367233.0,377637.0,388352.0,399318.0,410439.0,421687.0,433103.0,444596.0,455556.0,465113.0,473682.0,482142.0,490586.0,499107.0,507777.0,516597.0,525886.0,536080.0,547220.0,558923.0,569798.0,580704.0,592677.0,604753.0,616927.0,629307.0,641947.0,654836.0,668056.0,681630.0,696192.0,711503.0,726682.0,741741.0,756669.0,771590.0,786578.0,802163.0,818174.0,834188.0,850387.0,866628.0,882847.0,,Sub-Saharan Africa,Lower middle income,,Comoros,
Cabo Verde,CPV,"Population, total",SP.POP.TOTL,210024.0,215087.0,221919.0,229373.0,237006.0,244856.0,252976.0,261404.0,270164.0,279248.0,287885.0,294046.0,297386.0,299881.0,302570.0,305847.0,309455.0,312834.0,316147.0,319480.0,323301.0,327846.0,332724.0,337654.0,342505.0,347365.0,352312.0,357302.0,362329.0,367803.0,375428.0,384586.0,393415.0,401965.0,410228.0,418104.0,425581.0,432798.0,439784.0,446519.0,453317.0,460293.0,467046.0,473383.0,479370.0,485115.0,490728.0,496190.0,501355.0,506141.0,509784.0,511447.0,511955.0,512225.0,512326.0,512394.0,512554.0,512893.0,513415.0,514104.0,514679.0,516649.0,519741.0,522331.0,524877.0,527326.0,,Sub-Saharan Africa,Upper middle income,,Cabo Verde,
Eritrea,ERI,"Population, total",SP.POP.TOTL,972547.0,995573.0,1019788.0,1045092.0,1071287.0,1098335.0,1124957.0,1152339.0,1181737.0,1212005.0,1243453.0,1276154.0,1309235.0,1342669.0,1375688.0,1408210.0,1443807.0,1482565.0,1522378.0,1563332.0,1605797.0,1649939.0,1695461.0,1736160.0,1771730.0,1807816.0,1845164.0,1888669.0,1938255.0,1987017.0,2032737.0,1919571.0,1798748.0,1856006.0,1913915.0,2025267.0,2128464.0,2152135.0,2180419.0,2212780.0,2247031.0,2312079.0,2392978.0,2493903.0,2598284.0,2661215.0,2703502.0,2743222.0,2816327.0,2887885.0,2945186.0,2998485.0,3036988.0,3074360.0,3095173.0,3105546.0,3124698.0,3150347.0,3192760.0,3240194.0,3291271.0,3350183.0,3409447.0,3470390.0,3535603.0,3607003.0,,Sub-Saharan Africa,Low income,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1992-1997. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Eritrea,
Ethiopia,ETH,"Population, total",SP.POP.TOTL,21376693.0,21906102.0,22465126.0,23051637.0,23666548.0,24310612.0,24952689.0,25620276.0,26337930.0,27072571.0,27829128.0,28600106.0,29374608.0,30166785.0,30957273.0,31723252.0,32534418.0,33167272.0,33734592.0,34238652.0,34428514.0,35304012.0,36701290.0,37740817.0,38735722.0,39842136.0,41037656.0,42460039.0,44150825.0,45879690.0,47609755.0,49717198.0,51853747.0,53708891.0,55611508.0,57537335.0,59467635.0,61404539.0,63363524.0,65374561.0,67411494.0,69487762.0,71635517.0,73832663.0,76077206.0,78367470.0,80703490.0,83103217.0,85543668.0,88007636.0,90538514.0,93149970.0,95798767.0,98438751.0,101115610.0,103867135.0,106718162.0,109666481.0,112664152.0,115737383.0,118917671.0,122138588.0,125384287.0,128691692.0,132059767.0,135472051.0,,Sub-Saharan Africa,Low income,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: July 7). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY). The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated by using an inflation-adjustment method. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 2015-2024. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Ethiopia,
Gabon,GAB,"Population, total",SP.POP.TOTL,512316.0,518266.0,524649.0,531452.0,538657.0,546308.0,554463.0,563108.0,572257.0,583276.0,595846.0,608348.0,620960.0,633995.0,647691.0,662197.0,677628.0,693984.0,711245.0,729375.0,748389.0,768385.0,789286.0,811005.0,833501.0,856726.0,880705.0,905479.0,931020.0,957138.0,983734.0,1010818.0,1038380.0,1066405.0,1094720.0,1123213.0,1152015.0,1181439.0,1211736.0,1243016.0,1275572.0,1309589.0,1345135.0,1382350.0,1421609.0,1463495.0,1508337.0,1556237.0,1607175.0,1661556.0,1719879.0,1781985.0,1846889.0,1913059.0,1978399.0,2040989.0,2100306.0,2156900.0,2212318.0,2267706.0,2322539.0,2376722.0,2430747.0,2484789.0,2538952.0,2593130.0,,Sub-Saharan Africa,Upper middle income,,Gabon,
Ghana,GHA,"Population, total",SP.POP.TOTL,6961215.0,7162667.0,7337375.0,7514714.0,7695739.0,7882606.0,8074521.0,8271913.0,8475729.0,8690383.0,8925813.0,9176264.0,9438187.0,9714617.0,10000523.0,10294308.0,10594913.0,10911871.0,11248450.0,11597255.0,11941448.0,12281712.0,12643819.0,13029836.0,13370590.0,13661229.0,13965217.0,14289108.0,14636568.0,15006813.0,15394648.0,15787496.0,16184855.0,16589519.0,16993190.0,17399017.0,17810181.0,18238958.0,18688036.0,19149864.0,19637087.0,20167069.0,20729388.0,21296705.0,21868298.0,22449438.0,23040702.0,23642279.0,24249946.0,24862664.0,25474995.0,26095088.0,26734268.0,27386193.0,28041592.0,28696068.0,29356742.0,30008354.0,30637585.0,31258945.0,31887809.0,32518665.0,33149152.0,33787914.0,34427414.0,35064272.0,,Sub-Saharan Africa,Lower middle income,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1974-1987. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Ghana,
Guinea,GIN,"Population, total",SP.POP.TOTL,3556749.0,3619551.0,3684273.0,3750954.0,3819722.0,3890716.0,3964155.0,4040153.0,4118550.0,4198300.0,4277535.0,4355200.0,4431292.0,4506324.0,4580510.0,4653876.0,4727022.0,4801128.0,4877854.0,4959283.0,5047419.0,5143288.0,5247672.0,5359814.0,5480096.0,5610373.0,5750668.0,5900198.0,6056574.0,6215811.0,6434374.0,6697166.0,6914366.0,7128177.0,7345107.0,7553249.0,7770035.0,7931370.0,8081990.0,8265123.0,8428832.0,8539960.0,8674066.0,8870781.0,9062726.0,9245844.0,9441171.0,9662281.0,9898870.0,10143534.0,10396086.0,10656810.0,10921581.0,11191873.0,11472924.0,11767070.0,12073030.0,12385659.0,12704774.0,13034346.0,13371183.0,13710513.0,14055137.0,14405468.0,14754785.0,15099727.0,,Sub-Saharan Africa,Lower middle income,,Guinea,
"Gambia, The",GMB,"Population, total",SP.POP.TOTL,398060.0,408930.0,420163.0,431757.0,443687.0,455952.0,468516.0,481588.0,495269.0,509440.0,524105.0,539388.0,555370.0,571991.0,589085.0,606821.0,625667.0,645770.0,667103.0,689781.0,713913.0,739125.0,765753.0,794525.0,825631.0,858874.0,894019.0,931091.0,970160.0,1011357.0,1054696.0,1099959.0,1145582.0,1188365.0,1227226.0,1264313.0,1301410.0,1338889.0,1376987.0,1415779.0,1455084.0,1495011.0,1535691.0,1577611.0,1621312.0,1667037.0,1715275.0,1765774.0,1817852.0,1871422.0,1926630.0,1983784.0,2043094.0,2103820.0,2164528.0,2224529.0,2283769.0,2342189.0,2399632.0,2456844.0,2515733.0,2576010.0,2636470.0,2697845.0,2759988.0,2822093.0,,Sub-Saharan Africa,Low income,,"Gambia, The",
Guinea-Bissau,GNB,"Population, total",SP.POP.TOTL,577633.0,582532.0,589474.0,594418.0,588543.0,575005.0,566908.0,569011.0,578170.0,581610.0,584403.0,586221.0,586620.0,592808.0,613338.0,650966.0,694191.0,741789.0,791694.0,819867.0,829303.0,842432.0,855891.0,869592.0,883519.0,897697.0,912126.0,926862.0,942061.0,957789.0,973669.0,994639.0,1024356.0,1058745.0,1092031.0,1119949.0,1143535.0,1165545.0,1187473.0,1210206.0,1234741.0,1261273.0,1289307.0,1318806.0,1349563.0,1381585.0,1415303.0,1450986.0,1488054.0,1526377.0,1566347.0,1608076.0,1651417.0,1695973.0,1741122.0,1786457.0,1831893.0,1877072.0,1922168.0,1967696.0,2013255.0,2058841.0,2105529.0,2153339.0,2201352.0,2249515.0,,Sub-Saharan Africa,Low income,,Guinea-Bissau,
