Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Unnamed: 70,Region,IncomeGroup,SpecialNotes,TableName,Unnamed: 5,Improvement,Relative Improvement (%),Access_Score,Improvement_Score,Population_2023,People_Without_Electricity,Population_Score,Priority_Score,GDP_Per_Capita_2023,GDP_Log,GDP_Score,Investment_Opportunity_Score,Rank_Change
Comoros,COM,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.9,32.7624130249023,35.0945281982422,37.421802520752,39.8,42.0,44.8,46.5,48.7,51.0,53.2,55.5,57.8,60.1,69.7,69.3,69.3,69.4,71.8,74.1,76.4,78.7,81.0,83.3,85.6,87.9,89.9,89.8,,,,Sub-Saharan Africa,Lower middle income,,Comoros,,18.0,25.069637883008355,0.10782241014799154,0.422566371681416,850387.0,86739.47399999999,0.000981009550147883,0.17712326379318513,1723.89474946474,7.452341399165533,0.45083554843196466,0.24555133495288,-3.0
Cabo Verde,CPV,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.6,60.3,58.6,63.7,65.4,67.0,68.8,70.5,72.3,74.1,81.1,82.3,83.2,84.3,85.3,86.4,87.5,88.6,90.2,91.4,93.7,95.5,97.1,98.6,,,,Sub-Saharan Africa,Upper middle income,,Cabo Verde,,13.299999999999997,15.592028135990619,0.014799154334038112,0.3185840707964602,522331.0,7312.634000000006,8.27047186236813e-05,0.11115530994970732,4794.90119772843,8.475308381834846,0.6895837195883427,0.2557624123593662,3.0
Eritrea,ERI,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.9,24.7554473876953,25.8746109008789,26.9896945953369,28.0999355316162,29.3,30.3,32.2,32.4,33.4,34.5,35.6,36.7,37.8,38.9,40.1,41.2,42.3,43.5,44.6,45.8,46.9,48.0,49.1,50.3,51.4,52.5,53.4,54.4,,,,Sub-Saharan Africa,Low income,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1992-1997. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Eritrea,,9.799999999999997,21.97309417040358,0.4820295983086681,0.2411504424778761,3470390.0,1582497.8399999999,0.01789779696068247,0.2470259459157422,,,,,
Ethiopia,ETH,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.7,10.2,11.9,13.5,15.2,14.0,18.6,20.3,22.0,23.7,25.5,23.0,29.0,30.8,27.2,29.0,42.9,44.3,44.8,48.0,51.1,54.2,55.4,55.4,,,,Sub-Saharan Africa,Low income,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: July 7). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY). The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated by using an inflation-adjustment method. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 2015-2024. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Ethiopia,,28.2,103.6764705882353,0.4714587737843552,0.6482300884955753,128691692.0,57396494.63200001,0.6491451559759712,0.5896113394186339,1055.81091593061,6.962064391349717,0.33641080065505014,0.526311204727738,0.0
Gabon,GAB,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.6,77.2,77.8,78.5,79.2,81.6,80.5,81.3,82.0,82.7,89.3,88.7,89.3,86.4,87.1,87.3,88.1,86.3,89.6,90.3,91.1,91.8,93.5,94.1,,,,Sub-Saharan Africa,Upper middle income,,Gabon,,7.0,8.036739380022963,0.06236786469344613,0.1792035398230089,2484789.0,146602.55100000012,0.001658051357413606,0.08107648529128954,7802.82433276138,8.962241041081258,0.8032279366949796,0.26161434814221207,8.0
Ghana,GHA,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.6,30.36940574646,32.4504508972168,34.5287704467773,36.6036949157715,42.6,40.7405395507813,43.7,44.8,46.8,48.3,50.8,41.3,55.1,56.9,60.5,61.1,64.2,64.1,56.5,70.7,78.3,74.0,79.3,79.0,80.4,83.5,85.4,86.3,85.1,89.5,,,,Sub-Saharan Africa,Lower middle income,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1974-1987. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Ghana,,11.200000000000003,14.303959131545344,0.11099365750528545,0.2721238938053099,33787914.0,3547730.9699999993,0.04012426871444265,0.14108060667501265,2383.90410476221,7.776494802863717,0.5264890481227501,0.23743271703694702,-2.0
Guinea,GIN,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.4,15.2,16.4,17.7,18.9,20.2,20.2,22.8,24.1,25.4,26.7,28.1,29.5,26.2,32.2,33.5,34.9,33.5,35.4,45.0,42.2,44.7,46.8,47.7,51.1,,,,Sub-Saharan Africa,Lower middle income,,Guinea,,17.6,52.53731343283583,0.5169133192389006,0.4137168141592921,14405468.0,7044273.852,0.07966960835696346,0.3367665805850521,1555.49375806861,7.349548303516146,0.4268448781468346,0.3592861549754977,10.0
"Gambia, The",GMB,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.7,18.2500495910645,19.921443939209,21.5901184082031,23.255392074585,24.9165878295898,26.572940826416,34.3,29.9,31.5,27.8,34.8,30.5,38.1,39.8,41.5,43.2,46.8,48.3,49.9,51.5,53.0,54.7,56.4,56.2,60.3,62.1,62.2,63.7,65.4,66.9,,,,Sub-Saharan Africa,Low income,,"Gambia, The",,13.900000000000006,26.226415094339632,0.3498942917547567,0.3318584070796462,2697845.0,892986.695,0.01009953641118454,0.23061741174852915,883.024111978927,6.783352507115536,0.29470159962738246,0.24663845871824247,-9.0
Guinea-Bissau,GNB,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,2.6,3.9,5.2,14.5,7.9,9.3,4.7,6.0,13.5,14.9,16.3,17.2,20.1,22.9,26.0,28.4,30.9,33.4,35.8,37.4,40.5,,,,Sub-Saharan Africa,Low income,,Guinea-Bissau,,23.3,135.46511627906978,0.6289640591966172,0.5398230088495576,2153339.0,1281236.7049999998,0.014490581803678054,0.39442588328328426,964.431832665395,6.871539153503246,0.3152833006032448,0.3746402376132744,2.0
Equatorial Guinea,GNQ,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.8,64.9,64.9,64.9,64.9,65.0,65.1,65.1,65.2,65.4,66.1,66.1,65.7,65.9,66.0,66.1,66.2,66.4,66.5,66.6,66.7,66.8,67.0,66.9,,,,Sub-Saharan Africa,Upper middle income,,Equatorial Guinea,,0.9000000000000057,1.3636363636363722,0.3498942917547567,0.04424778761061963,1847549.0,611538.7189999999,0.006916404907230617,0.1336861614242023,6788.35271638376,8.8229635867578,0.7707222565837076,0.29294518521407864,9.0
Kenya,KEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.9,3.47343683242798,5.42734336853027,7.37853050231934,9.32631778717041,14.5,13.2088918685913,15.2,17.0,18.9,16.0,22.6,24.5,26.4,28.3,30.3,23.0,19.2,36.2,38.1,40.1,36.0,41.6,53.1,55.8,61.2,69.7,71.5,76.5,76.0,76.2,,,,Sub-Saharan Africa,Lower middle income,Fiscal year end: June 30; reporting period for national accounts data: CY.,Kenya,,40.2,111.66666666666667,0.2515856236786469,0.9137168141592922,55339003.0,13170682.714,0.14895831077326613,0.4380869162037351,1942.58802756191,7.571776397849223,0.4787102384179396,0.4482427467572862,1.0
Liberia,LBR,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.3,1.9,5.3,4.1,9.3,9.8,9.4,15.2,17.7,24.2,22.8,23.1,27.6,29.8,31.8,32.5,,,,Sub-Saharan Africa,Low income,National accounts data are provided in the US dollar.,Liberia,,23.1,245.74468085106383,0.7135306553911205,0.5353982300884957,5493031.0,3707795.9250000003,0.041934577703623195,0.4302878210610798,799.194470229642,6.683604308178327,0.2714215715562325,0.390571258684868,-2.0
Lesotho,LSO,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,1.3,3.4,5.4,6.8,9.6,9.7,13.9,16.0,17.0,17.0,22.5,20.6,26.9,27.8,31.8,35.1,33.7,47.0,44.6,47.5,50.4,50.0,57.3,,,,Sub-Saharan Africa,Lower middle income,Fiscal year end: March 31; reporting period for national accounts data: CY.,Lesotho,,29.499999999999996,106.11510791366905,0.4513742071881607,0.6769911504424779,2311472.0,986998.5440000001,0.011162795357117977,0.3798427176625855,921.435141557056,6.825932391081083,0.30463923163022427,0.3610418461544952,5.0
Madagascar,MDG,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.2,10.1056232452393,10.5616483688354,11.0156345367432,11.4669008255005,10.9,12.3585548400879,12.7975006103516,12.6,14.8,14.0,20.3,15.3,16.0,16.8,17.5,18.3,17.4,12.3,14.3,18.7,12.9,23.0,23.8,22.9,24.1,36.5,31.0,32.0,35.1,36.1,39.4,,,,Sub-Saharan Africa,Low income,,Madagascar,,16.4,71.30434782608695,0.6405919661733614,0.3871681415929204,31195932.0,18904734.792000003,0.21380952084128335,0.4138565428691884,514.064076551927,6.242347920237822,0.16843764595878197,0.3525018186415868,-12.0
Mali,MLI,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2,4.28854084014893,6.06686353683472,7.84034395217896,9.6,10.8,13.0,14.7,16.4,18.2,16.6,21.7,23.4,24.0,27.0,28.8,25.6,32.4,34.2,37.6,38.8,34.8,50.9,47.9,50.6,53.4,53.0,54.5,,,,Sub-Saharan Africa,Low income,,Mali,,20.299999999999997,59.35672514619882,0.4809725158562368,0.47345132743362833,23769127.0,10814952.784999998,0.12231538280349086,0.358913075364452,1042.44223444837,6.949321541536649,0.3334367730082811,0.3525439997754093,3.0
Mozambique,MOZ,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6,3.66317558288574,4.87912368774414,6.1,5.7,8.4,8.1,10.7,11.8,13.0,12.4,13.6,15.0,18.9,20.2,21.2,22.4,24.8,24.0,26.2,24.3,31.1,29.7,30.6,31.5,33.2,36.0,,,,Sub-Saharan Africa,Low income,,Mozambique,,11.2,45.16129032258064,0.6765327695560253,0.27212389380530977,33635160.0,21526502.400000002,0.24346129232558322,0.3973726518956394,622.191133245967,6.433247333712633,0.21299126950096994,0.351277306296972,-8.0
Mauritania,MRT,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.1,22.2,21.7,23.0,24.3,18.2,27.0,33.0,30.0,31.1,34.2,35.3,36.4,37.6,38.8,39.5,41.2,42.9,43.6,44.9,45.4,47.7,49.0,50.3,,,,Sub-Saharan Africa,Lower middle income,National account data were adjusted to reflect the new banknote (1 new ouguiya = 10 old ouguiya),Mauritania,,11.5,29.63917525773196,0.525369978858351,0.2787610619469027,5022441.0,2496153.177,0.028231092400548555,0.27745404440193405,2127.9576285973,7.662917938889851,0.49998157621131023,0.3330859273542781,2.0
Mauritius,MUS,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0415649414063,99.0706787109375,99.0996780395508,99.1280059814453,99.1549682617188,99.1798858642578,99.2020950317383,99.2208938598633,99.2356185913086,99.2455062866211,99.0,99.2,99.4,99.1,99.0,99.0,99.0,99.0,99.0,99.0,99.4,99.6,99.4,99.4,99.5,99.6,99.7,99.6,99.8,100.0,99.5,99.6,100.0,100.0,,,,Sub-Saharan Africa,Upper middle income,,Mauritius,,0.5,0.5025125628140703,0.0,0.03539823008849561,1248647.0,0.0,0.0,0.011799410029498535,11269.9684462139,9.329896807226344,0.8890343637540349,0.23110814846063263,2.0
Malawi,MWI,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,1.55355584621429,2.01366138458252,2.47172713279724,2.92707347869873,3.37902021408081,3.82688760757446,4.26991271972656,4.8,5.2,5.6,6.2,6.9,6.6,3.7,7.4,7.8,8.3,8.7,7.6,7.4,9.0,11.9,10.8,11.0,12.7,18.0,11.2,11.5,14.2,14.0,15.6,,,,Sub-Saharan Africa,Low income,,Malawi,,3.6999999999999993,31.092436974789912,0.8921775898520085,0.10619469026548675,21104482.0,17812182.808,0.20145293299366715,0.39994173770372077,633.214767978695,6.45080965050604,0.21709010268594106,0.3542288289492759,-7.0
Namibia,NAM,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.4,27.0,28.9325885772705,29.9521484375,30.9689884185791,31.9824295043945,32.9917907714844,33.9963111877441,36.5,36.0,36.9,37.8,38.7,39.6,40.5,43.7,42.4,44.1,44.4,42.3,46.4,47.4,48.4,51.6,49.7,52.5,52.3,53.3,52.3,55.2,56.2,56.7,,,,Sub-Saharan Africa,Lower middle income,Fiscal year end: March 31; reporting period for national accounts data: CY.,Namibia,,8.300000000000004,17.148760330578522,0.4577167019027484,0.20796460176991166,2963095.0,1283020.1349999998,0.014510752111167124,0.2267306852612757,4225.99102418102,8.349009074222261,0.6601069825854153,0.33507475959231064,9.0
Niger,NER,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,4.01213979721069,4.57177639007568,6.2,7.0,6.23572778701782,6.7,7.32568216323853,6.5,8.4,8.8,9.3,9.7,7.1,9.3,11.2,11.8,12.3,13.6,14.3,14.4,15.2,15.7,16.6,17.0,17.6,17.6,18.5,18.7,18.6,19.5,20.1,,,,Sub-Saharan Africa,Low income,,Niger,,4.400000000000002,28.025477707006385,0.8446088794926004,0.12168141592920363,26159867.0,20901733.733,0.23639525882669243,0.4008951847494988,647.930108509567,6.473782833296942,0.2224517668157618,0.3562843302660646,-7.0
Nigeria,NGA,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.3,35.2346000671387,36.0994606018066,36.9636459350586,37.8264694213867,38.6872520446777,39.5453186035156,40.3999824523926,41.2505683898926,44.9,43.2,43.9,44.6,52.2,46.1,46.8,47.6,50.1,50.3,50.0,48.0,55.9,53.0,55.6,54.2,52.5,59.3,54.4,56.5,55.4,55.4,59.5,60.5,61.2,,,,Sub-Saharan Africa,Lower middle income,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to 1970-2020. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Nigeria,,7.0,12.915129151291513,0.41014799154334025,0.1792035398230089,227882945.0,88418582.66,1.0,0.529783843788783,2138.76383718757,7.667983294940036,0.5011637692964496,0.5226288251656996,0.0
Rwanda,RWA,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,,,,,1.02783596515656,2.17412757873535,3.31557703018188,6.2,4.7,6.0,7.4,8.7,4.8,11.4,12.8,6.0,15.6,9.7,10.8,17.5,15.2,19.8,22.8,29.4,34.1,38.0,46.6,45.2,48.7,50.6,63.9,,,,Sub-Saharan Africa,Low income,,Rwanda,,44.099999999999994,222.72727272727272,0.38160676532769555,1.0,13954471.0,5037564.0309999995,0.056974041875011434,0.4795269357342356,1061.05788154076,6.9670216908873,0.3375677746517905,0.4440371454636244,-1.0
Sudan,SDN,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.8,26.9192943572998,27.4086132049561,27.897253036499,28.3845348358154,28.8697834014893,29.35231590271,29.8314571380615,30.3065280914307,30.7767562866211,23.0,29.4,29.7,29.9,30.2,30.5,30.8,31.1,20.0,29.0,36.0,38.3,40.7,43.1,44.9,48.0,50.5,53.0,55.3,57.6,59.7,61.8,63.2,66.0,,,,Sub-Saharan Africa,Low income,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 2018-2020. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Sudan,,21.1,46.99331848552339,0.35940803382663844,0.4911504424778762,50042791.0,17014548.939999998,0.19243182177469206,0.3476634326930689,797.283447265625,6.68121025830664,0.27086282915476123,0.328463281808492,-1.0
